Manufacturer, Model Number, Description, Power Output (STC), Type of panel, Length of short side, Length of long side
"General Energy Solutions", 7E00-6C315, "315 W Monocrystalline Module", 315, "Flat Plate", 0.992, 1.956
"General Energy Solutions", BVM6612M-315, "315 W Monocrystalline Module", 315, "Flat Plate", 0.992, 1.956
"General Energy Solutions", BVM6612P-315, "315 W Polycrystalline Module", 315, "Flat Plate", 0.992, 1.956
"General Energy Solutions", BVM6612M-320, "320 W Monocrystalline Module", 320, "Flat Plate", 0.992, 1.956
"General Energy Solutions", BVM6612P-320, "320 W Polycrystalline Module", 320, "Flat Plate", 0.992, 1.956
"General Energy Solutions", BVM6612M-325, "325 W Monocrystalline Module", 325, "Flat Plate", 0.992, 1.956
"General Energy Solutions", BVM6612P-325, "325 W Polycrystalline Module", 325, "Flat Plate", 0.992, 1.956
"General Energy Solutions", BVM6612M-330, "330 W Monocrystalline Module", 330, "Flat Plate", 0.992, 1.956
"General Energy Solutions", BVM6612M-335, "335 W Monocrystalline Module", 335, "Flat Plate", 0.992, 1.956
"Innotech Solar", ITS210XXXX, "210 W Polycrystalline Module", 210, "Flat Plate", 0.987, 1.637
"Innotech Solar", ITS215XXXX, "215 W Polycrystalline Module", 215, "Flat Plate", 0.987, 1.637
"Innotech Solar", ITS225XXXX, "225 W Polycrystalline Module", 225, "Flat Plate", 0.987, 1.637
"Innotech Solar", ITS230XXXX, "230 W Polycrystalline Module", 230, "Flat Plate", 0.987, 1.637
"Innovosolar International", TEM165M, "165 W Monocrystalline Module", 165, "Flat Plate", 0.809, 1.581
"Innovosolar International", TEM170M, "170 W Monocrystalline Module", 170, "Flat Plate", 0.809, 1.581
"Innovosolar International", TEM175M, "175 W Monocrystalline Module", 175, "Flat Plate", 0.809, 1.581
"Innovosolar International", TEM180M, "180 W Monocrystalline Module", 180, "Flat Plate", 0.809, 1.581
"Instalaciones Pevafersa", IP-VA180, "180 W Monocrystalline Module", 180, "Flat Plate", 0.779, 1.572
"Instalaciones Pevafersa", IP-VAP210, "210 W Polycrystalline Module", 210, "Flat Plate", 0.967, 1.619
"Instalaciones Pevafersa", "IP-220 GG", "220 W Monocrystalline Module", 220, "Flat Plate", 1.137, 1.805
"Instalaciones Pevafersa", "IP-225 GG", "225 W Monocrystalline Module", 225, "Flat Plate", 1.137, 1.805
"Instalaciones Pevafersa", "IP-230 GG", "230 W Monocrystalline Module", 230, "Flat Plate", 1.137, 1.805
"Instalaciones Pevafersa", IP-VAP230, "230 W Polycrystalline Module", 230, "Flat Plate", 0.967, 1.619
"Instalaciones Pevafersa", "IP-235 GG", "235 W Monocrystalline Module", 235, "Flat Plate", 1.137, 1.805
"Luxor Solar", "Solo Line 140M", "140 W Monocrystalline Module", 140, "Flat Plate", 0.676, 1.482
"Luxor Solar", "Solo Line 140P", "140 W Polycrystalline Module", 140, "Flat Plate", 0.676, 1.482
"Luxor Solar", "Solo Line 145M", "145 W Monocrystalline Module", 145, "Flat Plate", 0.676, 1.482
"Luxor Solar", "Solo Line 145P", "145 W Polycrystalline Module", 145, "Flat Plate", 0.676, 1.482
"Luxor Solar", LX-180M/125-72+, "180 W Monocrystalline Module", 180, "Flat Plate", 0.808, 1.58
"Luxor Solar", LX-185M/125-72+, "185 W Monocrystalline Module", 185, "Flat Plate", 0.808, 1.58
"Luxor Solar", LX-190M/125-72+, "190 W Monocrystalline Module", 190, "Flat Plate", 0.808, 1.58
"Luxor Solar", LX-195M/125-72+, "195 W Monocrystalline Module", 195, "Flat Plate", 0.808, 1.58
"Luxor Solar", LX-220P/156-60+, "220 W Polycrystalline Module", 220, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-225P/156-60+, "225 W Polycrystalline Module", 225, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-230M/156-60+, "230 W Monocrystalline Module", 230, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-230P/156-60+, "230 W Polycrystalline Module", 230, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-235M/156-60+, "235 W Monocrystalline Module", 235, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-235P/156-60+, "235 W Polycrystalline Module", 235, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-240M/156-60+, "240 W Monocrystalline Module", 240, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-240P/156-60+, "240 W Polycrystalline Module", 240, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-245M/156-60+, "245 W Monocrystalline Module", 245, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-250M/156-60+, "250 W Monocrystalline Module", 250, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-255M/156-60+, "255 W Monocrystalline Module", 255, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-260M/156-60+, "260 W Monocrystalline Module", 260, "Flat Plate", 0.992, 1.65
"Luxor Solar", LX-260M/156-72+, "260 W Monocrystalline Module", 260, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-260P/156-72+, "260 W Polycrystalline Module", 260, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-265M/156-60+, "265 W Monocrystalline Module", 265, "Flat Plate", 0.99, 1.64
"Luxor Solar", LX-265M/156-72+, "265 W Monocrystalline Module", 265, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-265P/156-72+, "265 W Polycrystalline Module", 265, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-270M/156-60+, "270 W Monocrystalline Module", 270, "Flat Plate", 0.99, 1.64
"Luxor Solar", LX-270M/156-72+, "270 W Monocrystalline Module", 270, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-270P/156-72+, "270 W Polycrystalline Module", 270, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-275M/156-60+, "275 W Monocrystalline Module", 275, "Flat Plate", 0.99, 1.64
"Luxor Solar", LX-275M/156-72+, "275 W Monocrystalline Module", 275, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-275P/156-72+, "275 W Polycrystalline Module", 275, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-280M/156-60+, "280 W Monocrystalline Module", 280, "Flat Plate", 0.99, 1.64
"Luxor Solar", LX-280M/156-72+, "280 W Monocrystalline Module", 280, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-280P/156-72+, "280 W Polycrystalline Module", 280, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-285M/156-60+, "285 W Monocrystalline Module", 285, "Flat Plate", 0.99, 1.64
"Luxor Solar", LX-290M/156-72+, "290 W Monocrystalline Module", 290, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-290P/156-72+, "290 W Polycrystalline Module", 290, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-300M/156-72+, "300 W Monocrystalline Module", 300, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-300P/156-72+, "300 W Polycrystalline Module", 300, "Flat Plate", 0.992, 1.956
"Luxor Solar", LX-320M/156-72+, "320 W Monocrystalline Module", 320, "Flat Plate", 0.99, 1.96
"Luxor Solar", LX-325M/156-72+, "325 W Monocrystalline Module", 325, "Flat Plate", 0.99, 1.96
"Luxor Solar", LX-330M/156-72+, "330 W Monocrystalline Module", 330, "Flat Plate", 0.99, 1.96
"Luxor Solar", LX-335M/156-72+, "335 W Monocrystalline Module", 335, "Flat Plate", 0.99, 1.96
"Mage Solar", "Powertec Plus 180/5 ME", "180 W Monocrystalline Module", 180, "Flat Plate", 0.808, 1.58
"Mage Solar", "Powertec Plus 185/5 MH", "185 W Monocrystalline Module", 185, "Flat Plate", 0.808, 1.58
"Mage Solar", "Powertec Plus 185/5MJB", "185 W Monocrystalline Module", 185, "Flat Plate", 0.808, 1.58
"Mage Solar", "190/5 MR", "190 W Monocrystalline Module", 190, "Flat Plate", 0.808, 1.58
"Mage Solar", "Powertec Plus 190/5MH", "190 W Monocrystalline Module", 190, "Flat Plate", 0.808, 1.58
"Mage Solar", "Powertec Plus 190/5MI", "190 W Monocrystalline Module", 190, "Flat Plate", 0.808, 1.58
"Mage Solar", "Powertec Plus 195/5MH", "195 W Monocrystalline Module", 195, "Flat Plate", 0.808, 1.58
"Mage Solar", "Powertec Plus 200/5MH", "200 W Monocrystalline Module", 200, "Flat Plate", 0.808, 1.58
"Mage Solar", "Powertec Plus 220/6 PH", "220 W Polycrystalline Module", 220, "Flat Plate", 0.992, 1.636
"Mage Solar", "Powertec Plus 220/6PI", "220 W Polycrystalline Module", 220, "Flat Plate", 0.992, 1.65
"Mage Solar", "Powertec Plus 225/6PH", "225 W Polycrystalline Module", 225, "Flat Plate", 0.992, 1.636
"Mage Solar", "Powertec Plus 230/6MI", "230 W Monocrystalline Module", 230, "Flat Plate", 0.992, 1.65
"Mage Solar", "Powertec Plus 230/6MO", "230 W Monocrystalline Module", 230, "Flat Plate", 0.991, 1.65
"Mage Solar", "Powertec Plus 230/6PE", "230 W Polycrystalline Module", 230, "Flat Plate", 0.992, 1.64
"Mage Solar", "Powertec Plus 230/6PF", "230 W Polycrystalline Module", 230, "Flat Plate", 0.992, 1.65
"Mage Solar", "Powertec Plus 230/6PH", "230 W Polycrystalline Module", 230, "Flat Plate", 0.992, 1.636
"Mage Solar", "Powertec Plus 230/6PI", "230 W Polycrystalline Module", 230, "Flat Plate", 0.992, 1.65
"Mage Solar", "Powertec Plus 230/6PJ", "230 W Polycrystalline Module", 230, "Flat Plate", 0.992, 1.655
"Mage Solar", "Powertec Plus 230/6PO", "230 W Polycrystalline Module", 230, "Flat Plate", 0.991, 1.65
"Mage Solar", "235/6 PR", "235 W Polycrystalline Module", 235, "Flat Plate", 0.992, 1.655
"Mage Solar", "Powertec Plus 235/6MF", "235 W Monocrystalline Module", 235, "Flat Plate", 0.992, 1.65
"Mage Solar", "Powertec Plus 235/6MI", "235 W Monocrystalline Module", 235, "Flat Plate", 0.992, 1.65
"Mage Solar", "Powertec Plus 235/6MO", "235 W Monocrystalline Module", 235, "Flat Plate", 0.991, 1.65
"Mage Solar", "Powertec Plus 235/6PE", "235 W Polycrystalline Module", 235, "Flat Plate", 0.992, 1.64
"Mage Solar", "Powertec Plus 235/6PH", "235 W Polycrystalline Module", 235, "Flat Plate", 0.992, 1.636
"Mage Solar", "Powertec Plus 235/6PJ", "235 W Polycrystalline Module", 235, "Flat Plate", 0.992, 1.655
"Mage Solar", "Powertec Plus 235/6PO", "235 W Polycrystalline Module", 235, "Flat Plate", 0.991, 1.65
"Mage Solar", "POWERTEC Plus 240 / 6 PL US", "240 W Polycrystalline Module", 240, "Flat Plate", 0.989, 1.655
"Mage Solar", "Powertec Plus 240/6MF", "240 W Monocrystalline Module", 240, "Flat Plate", 0.992, 1.65
"Mage Solar", "Powertec Plus 240/6MI", "240 W Monocrystalline Module", 240, "Flat Plate", 0.992, 1.65
"Mage Solar", "Powertec Plus 240/6MO", "240 W Monocrystalline Module", 240, "Flat Plate", 0.991, 1.65
"Mage Solar", "Powertec Plus 240/6PE", "240 W Polycrystalline Module", 240, "Flat Plate", 0.992, 1.64
"Mage Solar", "Powertec Plus 240/6PH", "240 W Polycrystalline Module", 240, "Flat Plate", 0.992, 1.636
"Mage Solar", "Powertec Plus 240/6PJ", "240 W Polycrystalline Module", 240, "Flat Plate", 0.992, 1.655
"Mage Solar", "Powertec Plus 240/6PO", "240 W Polycrystalline Module", 240, "Flat Plate", 0.991, 1.65
"Mage Solar", "245/5 MR", "245 W Monocrystalline Module", 245, "Flat Plate", 1.069, 1.58
"Mage Solar", "POWERTEC Plus 245 / 6PL US", "245 W Polycrystalline Module", 245, "Flat Plate", 0.989, 1.655
"Mage Solar", "Powertec Plus 245/6 PL", "245 W Polycrystalline Module", 245, "Flat Plate", 0.984, 1.65
"Mage Solar", "250/5 MR", "250 W Monocrystalline Module", 250, "Flat Plate", 1.069, 1.58
"Mage Solar", "POWERTEC Plus 250 / 6 MN US", "250 W Monocrystalline Module", 250, "Flat Plate", 0.992, 1.644
"Mage Solar", "Powertec Plus 250/6 MH", "250 W Monocrystalline Module", 250, "Flat Plate", 0.992, 1.636
"Mage Solar", "Powertec Plus 250/6 ML", "250 W Monocrystalline Module", 250, "Flat Plate", 0.989, 1.655
"Mage Solar", "Powertec Plus 250/6 PL", "250 W Polycrystalline Module", 250, "Flat Plate", 0.984, 1.65
"Mage Solar", "Powertec Plus 255/6 PL", "255 W Polycrystalline Module", 255, "Flat Plate", 0.984, 1.65
"Mage Solar", "Powertec Plus 275/6 PL", "275 W Polycrystalline Module", 275, "Flat Plate", 0.984, 1.968
"Mage Solar", "Powertec Plus 280/6 PL", "280 W Polycrystalline Module", 280, "Flat Plate", 0.984, 1.968
"Mage Solar", "Powertec Plus 285/6 PL", "285 W Polycrystalline Module", 285, "Flat Plate", 0.984, 1.968
"Mage Solar", "Powertec Plus 290/6 PL", "290 W Polycrystalline Module", 290, "Flat Plate", 0.984, 1.968
"Mage Solar", "Powertec Plus 290/6-72 PH", "290 W Polycrystalline Module", 290, "Flat Plate", 0.992, 1.952
"Mage Solar", "Powertec Plus 295/6 PL", "295 W Polycrystalline Module", 295, "Flat Plate", 0.984, 1.968
"Mage Solar", "Powertec Plus 300/6-72 MH", "300 W Monocrystalline Module", 300, "Flat Plate", 0.992, 1.952
"Mage Solar USA", "Powertec Plus 190/5 MH-US", "190 W Monocrystalline Module", 190, "Flat Plate", 0.808, 1.58
"Mage Solar USA", "Powertec Plus 195/5MH-US", "195 W Monocrystalline Module", 195, "Flat Plate", 0.808, 1.58
"Mage Solar USA", "Powertec Plus 230/6 PH-US", "230 W Polycrystalline Module", 230, "Flat Plate", 0.992, 1.636
"Mage Solar USA", "Powertec Plus 230/6 PL", "230 W Polycrystalline Module", 230, "Flat Plate", 0.989, 1.655
"Mage Solar USA", "Powertec Plus 235/6 ML", "235 W Monocrystalline Module", 235, "Flat Plate", 0.989, 1.655
"Mage Solar USA", "Powertec Plus 235/6 PL", "235 W Polycrystalline Module", 235, "Flat Plate", 0.989, 1.655
"Mage Solar USA", "Powertec Plus 235/6PH-US", "235 W Polycrystalline Module", 235, "Flat Plate", 0.992, 1.636
"Mage Solar USA", "Powertec Plus 240/6 ML", "240 W Monocrystalline Module", 240, "Flat Plate", 0.989, 1.655
"Mage Solar USA", "Powertec Plus 240/6 PL", "240 W Polycrystalline Module", 240, "Flat Plate", 0.989, 1.655
"Mage Solar USA", "Powertec Plus 240/6 PNS", "240 W Polycrystalline Module", 240, "Flat Plate", 0.992, 1.644
"Mage Solar USA", "Powertec Plus 245/6 ML", "245 W Monocrystalline Module", 245, "Flat Plate", 0.989, 1.655
"Mage Solar USA", "Powertec Plus 245/6 MNBS", "245 W Monocrystalline Module", 245, "Flat Plate", 0.992, 1.644
"Mage Solar USA", "Powertec Plus 250/6 MNBS", "250 W Monocrystalline Module", 250, "Flat Plate", 0.992, 1.644
"Mage Solar USA", "Powertec Plus 250/6 MNCS", "250 W Monocrystalline Module", 250, "Flat Plate", 0.982, 1.63
"Mage Solar USA", "Powertec Plus 250/6 MNS", "250 W Monocrystalline Module", 250, "Flat Plate", 0.992, 1.644
"Mage Solar USA", "Powertec Plus 250/6 PL US", "250 W Polycrystalline Module", 250, "Flat Plate", 0.989, 1.655
"Mage Solar USA", "Powertec Plus 255/6 ML", "255 W Monocrystalline Module", 255, "Flat Plate", 0.989, 1.655
"Mage Solar USA", "Powertec Plus 290 / 6-72 PH", "290 W Polycrystalline Module", 290, "Flat Plate", 0.992, 1.952
"Mage Solar USA", "Powertec Plus 300/6 PL", "300 W Polycrystalline Module", 300, "Flat Plate", 0.984, 1.968
"Mitsubishi Electric", PV-UD185HA6, "185 W Polycrystalline Module", 185, "Flat Plate", 0.834, 1.658
"Mitsubishi Electric", PV-UD190HA6, "190 W Polycrystalline Module", 190, "Flat Plate", 0.834, 1.658
"Mitsubishi Electric", PV-UD195HA6, "195 W Polycrystalline Module", 195, "Flat Plate", 0.834, 1.658
"Mitsubishi Electric", PV-MJU235GB, "235 W Monocrystalline Module", 235, "Flat Plate", 0.956, 1.596
"Mitsubishi Electric", PV-MJU240GB, "240 W Monocrystalline Module", 240, "Flat Plate", 0.956, 1.596
"Mitsubishi Electric", PV-MJU245GB, "245 W Monocrystalline Module", 245, "Flat Plate", 0.956, 1.596
"Mitsubishi Electric", PV-MJE265FB, "265 W Monocrystalline Module", 265, "Flat Plate", 0.911, 1.574
"Mitsubishi Electric", PV-MJE270FB, "270 W Monocrystalline Module", 270, "Flat Plate", 0.911, 1.574
"Mitsubishi Electric", PV-MJE275FB, "275 W Monocrystalline Module", 275, "Flat Plate", 0.986, 1.65
"Mitsubishi Electric", PV-MJE275FB-B, "275 W Monocrystalline Module", 275, "Flat Plate", 0.994, 1.657
"Mitsubishi Electric", PV-MJE280FB, "280 W Monocrystalline Module", 280, "Flat Plate", 0.994, 1.657
"Mitsubishi Electric", PV-MJE280FB-B, "280 W Monocrystalline Module", 280, "Flat Plate", 0.994, 1.657
"Moser Baer Photovoltaic", "MBPV CAAP 210", "210 W Polycrystalline Module", 210, "Flat Plate", 0.985, 1.655
"Moser Baer Photovoltaic", "MBPV CAAP BB 210W", "210 W Polycrystalline Module", 210, "Flat Plate", 0.967, 1.637
"Moser Baer Photovoltaic", "MBPV CAAP 215W", "215 W Polycrystalline Module", 215, "Flat Plate", 0.951, 1.587
"Moser Baer Photovoltaic", "MBPV CAAP BB 215W", "215 W Polycrystalline Module", 215, "Flat Plate", 0.967, 1.637
"Moser Baer Photovoltaic", "MBPV CAAP 220", "220 W Polycrystalline Module", 220, "Flat Plate", 0.985, 1.655
"Moser Baer Photovoltaic", "MBPV CAAP BB 220W", "220 W Polycrystalline Module", 220, "Flat Plate", 0.967, 1.637
"Moser Baer Photovoltaic", "MBPV CAAP BB 225W", "225 W Polycrystalline Module", 225, "Flat Plate", 0.967, 1.637
"Moser Baer Photovoltaic", "MBPV CAAP BB 230W", "230 W Polycrystalline Module", 230, "Flat Plate", 0.967, 1.637
"Moser Baer Photovoltaic", "MBPV CAAP BB 235W", "235 W Polycrystalline Module", 235, "Flat Plate", 0.991, 1.661
"Moser Baer Photovoltaic", "MBPV CAAP BB 240W", "240 W Polycrystalline Module", 240, "Flat Plate", 0.991, 1.661
"Moser Baer Photovoltaic", "MBPV CAAP BB 245W", "245 W Polycrystalline Module", 245, "Flat Plate", 0.991, 1.661
"Moser Baer Solar", "MBSL eLITE 60 3x 225", "225 W Polycrystalline Module", 225, "Flat Plate", 0.951, 1.578
"Moser Baer Solar", "MBSL eLITE 60 3x 230", "230 W Polycrystalline Module", 230, "Flat Plate", 0.951, 1.578
"Moser Baer Solar", "MBSL eLITE 60 3x 235", "235 W Polycrystalline Module", 235, "Flat Plate", 0.951, 1.578
"Moser Baer Solar", "MBSL eLITE 60 3x 240", "240 W Polycrystalline Module", 240, "Flat Plate", 0.951, 1.578
"Moser Baer Solar", "MBSL eLITE 60 3x 245", "245 W Polycrystalline Module", 245, "Flat Plate", 0.951, 1.578
"Panasonic Eco Solutions Canada", PE240M-BBB, "240 W Monocrystalline Module", 240, "Flat Plate", 0.991, 1.656
"Panasonic Eco Solutions Canada", PE240P-BBB, "240 W Polycrystalline Module", 240, "Flat Plate", 0.991, 1.656
"Panasonic Eco Solutions Canada", PE245M-BBB, "245 W Monocrystalline Module", 245, "Flat Plate", 0.991, 1.656
"Panasonic Eco Solutions Canada", PE245P-BBB, "245 W Polycrystalline Module", 245, "Flat Plate", 0.991, 1.656
"Panasonic Eco Solutions Canada", PE250M-BBB, "250 W Monocrystalline Module", 250, "Flat Plate", 0.991, 1.656
"Panasonic Eco Solutions Canada", PE250P-BBB, "250 W Polycrystalline Module", 250, "Flat Plate", 0.991, 1.656
"Panasonic Eco Solutions Canada", PE255M-BBB, "255 W Monocrystalline Module", 255, "Flat Plate", 0.991, 1.656
"Panasonic Eco Solutions Canada", PE255P-BBB, "255 W Polycrystalline Module", 255, "Flat Plate", 0.991, 1.656
"Panasonic Eco Solutions Canada", PE260M-BBB, "260 W Monocrystalline Module", 260, "Flat Plate", 0.991, 1.656
"Panasonic Eco Solutions Canada", PE290M-BBB, "290 W Monocrystalline Module", 290, "Flat Plate", 0.991, 1.975
"Panasonic Eco Solutions Canada", PE290P-BBB, "290 W Polycrystalline Module", 290, "Flat Plate", 0.991, 1.975
"Panasonic Eco Solutions Canada", PE295M-BBB, "295 W Monocrystalline Module", 295, "Flat Plate", 0.991, 1.975
"Panasonic Eco Solutions Canada", PE295P-BBB, "295 W Polycrystalline Module", 295, "Flat Plate", 0.991, 1.975
"Panasonic Eco Solutions Canada", PE300M-BBB, "300 W Monocrystalline Module", 300, "Flat Plate", 0.991, 1.975
"Panasonic Eco Solutions Canada", PE300P-BBB, "300 W Polycrystalline Module", 300, "Flat Plate", 0.991, 1.975
"Panasonic Eco Solutions Canada", PE305M-BBB, "305 W Monocrystalline Module", 305, "Flat Plate", 0.991, 1.975
"Panasonic Eco Solutions Canada", PE305P-BBB, "305 W Polycrystalline Module", 305, "Flat Plate", 0.991, 1.975
"Panasonic Eco Solutions Canada", PE310M-BBB, "310 W Monocrystalline Module", 310, "Flat Plate", 0.991, 1.975
"Panasonic Eco Solutions Canada", PE310P-BBB, "310 W Polycrystalline Module", 310, "Flat Plate", 0.991, 1.975
"Panasonic Eco Solutions Canada", PE315M-BBB, "315 W Monocrystalline Module", 315, "Flat Plate", 0.991, 1.975
"Panasonic Eco Solutions Canada", PE320M-BBB, "320 W Monocrystalline Module", 320, "Flat Plate", 0.991, 1.975
"Rare Manufacturing", IW-40-B12345YZZ, "40 W Mono c-Si BIPV roof panel", 40, "Flat Plate", 0.3048, 1.1176
"Realforce Power", RF-215P60, "215 W Polycrystalline Module", 215, "Flat Plate", 0.972, 1.62
"Realforce Power", RF-220P60, "220 W Polycrystalline Module", 220, "Flat Plate", 0.972, 1.62
"Realforce Power", RF-225P60, "225 W Polycrystalline Module", 225, "Flat Plate", 0.972, 1.62
"Realforce Power", RF-230P60, "230 W Polycrystalline Module", 230, "Flat Plate", 0.972, 1.62
"Realforce Power", RF-235P60, "235 W Polycrystalline Module", 235, "Flat Plate", 0.972, 1.62
"Realforce Power", RF-240P60, "240 W Polycrystalline Module", 240, "Flat Plate", 0.972, 1.62
"Realforce Power", RF-245P60, "245 W Polycrystalline Module", 245, "Flat Plate", 0.972, 1.62
"Realforce Power", RF-250P60, "250 W Polycrystalline Module", 250, "Flat Plate", 0.972, 1.62
"Realforce Power", RF-255P72, "255 W Polycrystalline Module", 255, "Flat Plate", 0.972, 1.936
"Realforce Power", RF-260P72, "260 W Polycrystalline Module", 260, "Flat Plate", 0.972, 1.936
"Realforce Power", RF-265P72, "265 W Polycrystalline Module", 265, "Flat Plate", 0.972, 1.936
"Realforce Power", RF-270P72, "270 W Polycrystalline Module", 270, "Flat Plate", 0.972, 1.936
"Realforce Power", RF-275P72, "275 W Polycrystalline Module", 275, "Flat Plate", 0.972, 1.936
"Realforce Power", RF-280P72, "280 W Polycrystalline Module", 280, "Flat Plate", 0.972, 1.936
"Realforce Power", RF-285P72, "285 W Polycrystalline Module", 285, "Flat Plate", 0.972, 1.936
"Realforce Power", RF-290P72, "290 W Polycrystalline Module", 290, "Flat Plate", 0.972, 1.936
"Realforce Power", RF-295P72, "295 W Polycrystalline Module", 295, "Flat Plate", 0.972, 1.936
"RSI Holding", RSI-6M-250M-60, "250 W Monocrystalline Module", 250, "Flat Plate", 0.99, 1.626
"RSI Holding", RSI-6M-255M-60, "255 W Monocrystalline Module", 255, "Flat Plate", 0.99, 1.626
"RSI Holding", RSI-6M-260M-60, "260 W Monocrystalline Module", 260, "Flat Plate", 0.99, 1.626
"RSI Holding", RSI-6M-265M-60, "265 W Monocrystalline Module", 265, "Flat Plate", 0.99, 1.626
"RSI Holding", RSI-6M-270M-60, "270 W Monocrystalline Module", 270, "Flat Plate", 0.99, 1.626
"Saga Solar", S-255M60-B, "255 W Monocrystalline Module", 255, "Flat Plate", 0.992, 1.64
"Saga Solar", S-260M60, "260 W Monocrystalline Module", 260, "Flat Plate", 0.992, 1.64
"Saga Solar", S-260M60-B, "260 W Monocrystalline Module", 260, "Flat Plate", 0.992, 1.64
"Saga Solar", S-265M60, "265 W Monocrystalline Module", 265, "Flat Plate", 0.992, 1.64
"Saga Solar", S-270M60, "270 W Monocrystalline Module", 270, "Flat Plate", 0.992, 1.64
"Saga Solar", S-275M60, "275 W Monocrystalline Module", 275, "Flat Plate", 0.992, 1.64
"Saga Solar", S-280M60, "280 W Monocrystalline Module", 280, "Flat Plate", 0.992, 1.64
"Saga Solar", S-310P72, "310 W Polycrystalline Module", 310, "Flat Plate", 0.992, 1.956
"Saga Solar", S-315P72, "315 W Polycrystalline Module", 315, "Flat Plate", 0.992, 1.956
Sharp, ND-62RU1, "62W Polycrystalline Roof Module", 62, "Flat Plate", 0.396, 1.49
Sharp, ND-62RU1F, "62W Polycrystalline Roof Module", 62, "Flat Plate", 0.396, 1.49
Sharp, ND-62RU2, "62W Polycrystalline Roof Module", 62, "Flat Plate", 0.396, 1.49
Sharp, ND-65RU1F, "65 W Polycrystalline Roof Module", 65, "Flat Plate", 0.396, 1.49
Sharp, ND-123UJF, "123W Polycrystalline Module", 123, "Flat Plate", 0.662, 1.499
Sharp, ND-130UJF, "130 W Polycrystalline Module", 130, "Flat Plate", 0.662, 1.499
Sharp, ND-N2ECU, "142W Polycrystalline Module", 142, "Flat Plate", 0.99, 1.165
Sharp, ND-N2ECUF, "142W Polycrystalline Module", 142, "Flat Plate", 0.99, 1.165
Sharp, ND-162U1F, "162W Polycrystalline Module", 162, "Flat Plate", 0.994, 1.318
Sharp, ND-162U1Y, "162W Polycrystalline Module", 162, "Flat Plate", 0.994, 1.318
Sharp, ND-162U2, "162W Polycrystalline Module", 162, "Flat Plate", 0.994, 1.318
Sharp, NE-165U5, "165 W Polycrystalline Module", 165, "Flat Plate", 0.826, 1.575
Sharp, ND-167U1, "167W Polycrystalline Module", 167, "Flat Plate", 0.994, 1.318
Sharp, ND-167U1F, "167W Polycrystalline Module", 167, "Flat Plate", 0.994, 1.318
Sharp, ND-167U1Y, "167W Polycrystalline Module", 167, "Flat Plate", 0.994, 1.318
Sharp, ND-167U2, "167W Polycrystalline Module", 167, "Flat Plate", 0.994, 1.318
Sharp, ND-167U3A, "167W Polycrystalline Module", 167, "Flat Plate", 0.994, 1.318
Sharp, NE-170U1, "170 W Polycrystalline Module", 170, "Flat Plate", 0.826, 1.575
Sharp, NT-170U1, "170 W Monocrystalline Module", 170, "Flat Plate", 0.826, 1.575
Sharp, NT-175U1, "175 W Monocrystalline Module", 175, "Flat Plate", 0.826, 1.575
Sharp, ND-176U1Y, "176W Polycrystalline Module", 176, "Flat Plate", 0.994, 1.318
Sharp, NT-180U1, "180 W Monocrystalline Module", 180, "Flat Plate", 0.826, 1.575
Sharp, ND-181U1, "181W Polycrystalline Module", 181, "Flat Plate", 0.994, 1.491
Sharp, ND-181U1F, "181W Polycrystalline Module", 181, "Flat Plate", 0.994, 1.491
Sharp, ND-181U2, "181W Polycrystalline Module", 181, "Flat Plate", 0.994, 1.491
Sharp, ND-187U1, "187W Polycrystalline Module", 187, "Flat Plate", 0.994, 1.491
Sharp, ND-187U1F, "187W Polycrystalline Module", 187, "Flat Plate", 0.994, 1.491
Sharp, ND-187U2, "187W Polycrystalline Module", 187, "Flat Plate", 0.994, 1.491
Sharp, ND-198U1F, "198W Polycrystalline Module", 198, "Flat Plate", 0.994, 1.491
Sharp, ND-200U1, "200 W Polycrystalline Module", 200, "Flat Plate", 0.994, 1.64
Sharp, ND-200U1F, "200 W Polycrystalline Module", 200, "Flat Plate", 0.994, 1.64
Sharp, ND-200U2, "200 W Polycrystalline Module", 200, "Flat Plate", 0.994, 1.64
